原始微博内容,发布日期,博主输入月份,博主输入日,博主输入星期,上海,深圳,北京,长沙,武汉,广州,苏州,郑州,南京,成都,西安,重庆
#地铁客流排行榜# 7月25日（周一），北京地铁线网客运量为1171.84万，上海地铁客运量为1033.9万，广州地铁客运量为754.7万，深圳地铁线网客运量为398.12万，南京地铁客运量为XXX万，武汉地铁客运量192.3万，成都地铁155.41万，西安地铁客运量105.44万。,2016/7/26,7,25,周一,1033.9,398.12,1171.84, ,192.3,754.7, , ,192.3,155.41,105.44, 
#地铁客流排行榜# 7月24日（周日），北京地铁线网客运量为756.82万，广州地铁客运量为670.5万，上海地铁客运量为635.2万，深圳地铁线网客运量为360.3万，南京地铁客运量为166.5万，武汉地铁客运量161.9万，成都地铁112万，西安地铁客运量98万。,2016/7/25,7,24,周日,635.2,360.3,756.82, ,161.9,670.5, , ,166.5,112,98, 
#地铁客流排行榜# 7月23日（周六），北京地铁线网客运量为854.2万，上海地铁客运量为720.8万，广州地铁客运量为696.4万，深圳地铁线网客运量为367万，南京地铁客运量为187.3万，武汉地铁客运量176.3万，成都地铁116.4万，西安地铁客运量101.2万。,2016/7/24,7,23,周六,720.8,367,854.2, ,176.3,696.4, , ,187.3,116.4,101.2, 
#地铁客流排行榜# 7月22日（周五），北京地铁线网客运量为1285.3万，上海地铁客运量为1079万，广州地铁客运量为782.8万，深圳地铁线网客运量为412.3万，南京地铁客运量为237.1万，武汉地铁客运量205.16万，成都地铁158.15万，西安地铁客运量110.69万。,2016/7/23,7,22,周五,1079,412.3,1285.3, ,205.16,782.8, , ,237.1,158.15,110.69, 
#地铁客流排行榜# 7月21日（周四），北京地铁线网客运量为1174.7万，上海地铁客运量为1050.7万，广州地铁客运量为760万，深圳地铁线网客运量为397.5万，南京地铁客运量为228.1万，武汉地铁客运量200.9万，成都地铁146.6万，西安地铁客运量106.4万。,2016/7/22,7,21,周四,1050.7,397.5,1174.7, ,200.9,760, , ,228.1,146.6,106.4, 
#地铁客流排行榜# 7月20日（周三），上海地铁客运量为1074万，北京地铁线网客运量为975.7万，广州地铁客运量为764万，深圳地铁线网客运量为398.3万，南京地铁客运量为236.6万，武汉地铁客运量185.8万，成都地铁150.5万，西安地铁客运量107万。受天气影响北京地铁客流下降幅度较大，工作日掉到1千w以下。,2016/7/21,7,20,周三,1074,398.3,975.7, ,185.8,764, , ,236.6,150.5,107, 
#地铁客流排行榜# 7月19日（周二），北京地铁线网客运量为1142.9万，上海地铁客运量为1078.4万，广州地铁客运量为760万，深圳地铁线网客运量为396.62万，南京地铁客运量为235.1万，武汉地铁客运量约180.9万，成都地铁154.55万，西安地铁客运量102.32万。,2016/7/20,7,19,周二,1078.4,396.62,1142.9, ,180.9,760, , ,235.1,154.55,102.32, 
#地铁客流排行榜# 7月18日（周一），北京地铁线网客运量为1225.54万，上海地铁客运量为1080.2万，广州地铁客运量为790万，深圳地铁线网客运量为405.88万，南京地铁客运量为239.5万，武汉地铁客运量约199.98万，成都地铁155.7万，西安地铁客运量106.46万。,2016/7/19,7,18,周一,1080.2,405.88,1225.54, ,199.98,790, , ,239.5,155.7,106.46, 
#地铁客流排行榜# 7月18日（周一），北京地铁线网客运量为1225.54万，上海地铁客运量为1080.2万，广州地铁客运量为790万，深圳地铁线网客运量为405.88万，南京地铁客运量为239.5万，武汉地铁客运量约199.98万，成都地铁155.7万。,2016/7/19,7,18,周一,1080.2,405.88,1225.54, ,199.98,790, , ,239.5,155.7, , 
#地铁客流排行榜# 7月17日（周日），北京地铁线网客运量为830.89万，上海地铁客运量为745万，广州地铁客运量为732.1万，深圳地铁线网客运量为370万，南京地铁客运量为196.2万，武汉地铁客运量约171.45万，成都地铁110.58万，西安地铁客运量99.32万。,2016/7/18,7,17,周日,745,370,830.89, ,171.45,732.1, , ,196.2,110.58,99.32, 
#地铁客流排行榜# 7月15日（周五），北京地铁线网客运量为1265.47万，上海地铁客运量为1093万，广州地铁客运量为813.3万，深圳地铁线网客运量为417.37万，南京地铁客运量为239.3万，武汉地铁客运量约192.12万，成都地铁客运量161.17万，西安地铁客运量118万。长沙64.7万、苏州42.3万、郑州26.2万。,2016/7/17,7,15,周五,1093,417.37,1265.47,64.7,192.12,813.3,42.3,26.2,239.3,161.17,118, 
